_id;_isbn;_title;_description
58684;9783642084171;Many-Valued Logics 2;Many-valued logics are becoming increasingly important in many branches of science. This is the second volume of a comprehensive two-volume handbook on many-valued logics by two leading members of the famous Polish school of logic. While the first volume was mainly concerned with theoretical foundations, this volume emphasizes automated reasoning, practical applications, and latest developments in closely related fields, such as fuzzy logics and rough set theory. It offers an extensive overview of Gentzen deduction systems and multi-sequential systems in many-valued logics and shows the application of the resolution principle to such logics. It discusses applications in such areas as software specification and electronic circuit verification and presents fuzzy logics and rough set theory in detail.
162768;9789400744448;The Geology and Tectonic Settings of China's Mineral Deposits;Extensive descriptions of a wide range of key or world-class mineral deposits of China are presented in the context of the country’s general geology, tectonic units and mineral systems and their geodynamic evolution within the tectonic framework of the Asian continent. This comprehensive overview, incorporating the latest geological concepts, is the first such coverage written in English by a western expert, and will be of benefit to mineral explorers and miners, as well as to research scientists and students in institutions of higher education. In his compilation of this compendium of Chinese geology and mineral systems, Franco Pirajno draws on first-hand knowledge of China’s geology and mineral deposits gained in numerous field visits and research projects with Chinese colleagues from various academic institutions over the past 18 years.First time that a western-based book on China’s geology and mineral deposits is published Appropriate for use by the mineral exploration industry Modern English-language geological and mineral deposits information on China Most useful to Western (and Chinese) geoscientists 
60297;9783642586026;Maturation Phenomenon in Cerebral Ischemia III;The maturation phenomenon refers to postischemic changes that develop hours or days following an ischemic insult. The delayed neuronal death of CA1 pyramidical cells of the hippocampus is a classic example. The report of the phenomenon has boosted research in this field, as it became evident that ischemic damage is not a sudden event but a process potentially susceptible to therapeutic intervention. In September 1990, the first international symposium on  Maturation Phenomenon in Cerebral Ischemia  was held in Tokyo. The second symposium was organized in Tokyo in March/April 1996. Since then, new developments have rapidly delivered information about the molecular nature and dynamics of mechanisms concerning cell death and recovery. This book contains the presentations of the 3rd international symposium held in Pozilly/Italy in April 1998. It outlines the present status of the investigation and provides further stimulation for research in this field.
59699;9783642189791;Applied Laser Medicine;The history of laser applications in medicine starts al­ In the early 1990s a concerted action program most with the invention of the laser itself. sponsored by the European Commission was carried out in Europe for the dissemination of the safe use of It was only a few months after Maiman's invention lasers in medicine, and in 1996 a similar program was when this new high-intensity light source was used for medical applications. Light as a therapeutic tool developed with Russia. It was this German--Russian had long been used in medicine, especially in oph­ cooperation that led to a Russian version of the Ger­ thalmology and dermatology. Therefore, these disci­ man original loose-leaf handbook. The editors real­ plines were the first to take advantage of this new tool. ized an ever-growing demand for an English version of this handbook, too. Therefore, the editors are very Although the early results were not as promising as grateful to the Springer publishing house for support­ expected, a new field for medical diagnosis and treat­ ment had been defined. Most of the difficulties in the ing the English edition of the German original.
161157;9783642443183;Seismic Wave Propagation and Scattering in the Heterogeneous Earth : Second Edition;Seismic waves - generated both by natural earthquakes and by man-made sources - have produced an enormous amount of information about the Earth's interior. In classical seismology, the Earth is modeled as a sequence of uniform horizontal layers (or spherical shells) having different elastic properties and one determines these properties from travel times and dispersion of seismic waves. The Earth, however, is not made of horizontally uniform layers, and classic seismic methods can take large-scale inhomogeneities into account. Smaller-scale irregularities, on the other hand, require other methods. Observations of continuous wave trains that follow classic direct S waves, known as coda waves, have shown that there are heterogeneities of random size scattered randomly throughout the layers of the classic seismic model. This book focuses on recent developments in the area of seismic wave propagation and scattering through the randomly heterogeneous structure of the Earth, with emphasis on the lithosphere. The presentation combines information from many sources to present a coherent introduction to the theory of scattering in acoustic and elastic materials and includes analyses of observations using the theoretical methods developed. The second edition especially includes new observational facts such as the spatial variation of medium inhomogeneities and the temporal change in scattering characteristics and recent theoretical developments in the envelope synthesis in random media for the last ten years. Mathematics is thoroughly rewritten for improving the readability. Written for advanced undergraduates or beginning graduate students of geophysics or planetary sciences, this book should also be of interest to civil engineers, seismologists, acoustical engineers, and others interested in wave propagation through inhomogeneous elastic media.
173417;9783662508398;Surgical Anatomy of the Internal Carotid Artery;This atlas provides all the basic and advanced information required by surgeons in order to understand fully the skull base anatomy. It is organized according to anatomo-surgical pathways to the hidden areas of the skull base. These pathways are described in step-by-step fashion with the aid of a wealth of color images and illustrations. The emphasis is on endoscopic anatomy, but in order to provide a holistic perspective, informative three-dimensional reconstructions are presented alongside the endoscopic images and radiologic images are included when appropriate. In effect, windows are opened on the anatomy so that the reader is guided on a journey throughout the skull base region. This anatomically oriented atlas will serve as an ideal learning tool for novice surgeons and will also prove an invaluable reference for the more experienced surgeon.
58475;9789813083608;Scientific Computing;This book concerns modern methods in scientific computing and linear algebra, relevant to image and signal processing. For these applications, it is important to consider ingredients such as: (1) sophisticated mathematical models of the problems, including a priori knowledge, (2) rigorous mathematical theories to understand the difficulties of solving problems which are ill-posed, and (3) fast algorithms for either real-time or data-massive computations. Such are the topics brought into focus by these proceedings of the Workshop on Scientific Computing (held in Hong Kong on March 10-12, 1997, the sixth in such series of Workshops held in Hong Kong since 1990), where the major themes were on numerical linear algebra, signal processing, and image processing.
20912;9783662024867;Integral/Structural Polymer Foams;Integral, or structural, foams are one of the most remarkable materials that have been developed over the last fifteen years. As with all rapidly growing fields, the terminology seems to have grown even faster. Thus there are two names for the material structure itself. In the United States and in Japan the term for these plastics is Structural Foams, whereas in Europe and the USSR the term used is usually Integral Foams. We have adhered to the European term in the text and hope our colleagues will bear with us. Integral foams have a specific structure: a cellular core that gradually turns into a solid skin. The skin gives the part its form and stiffness, while the cellular core contributes to the very high strength-to-weight values of the material. These are higher than those of some unfoamed plastics and metals. The sandwich-like structure with its unique mechanical properties was prompted by nature. Wood and bone are strong and light-weight natural materials having a cellular structure. Since the sandwich-like structure of the integral foams resembles that of natural wood, the foams are often referred to as artifical wood or plastic wood, thereby emphasizing not only the formal structural similarity of these materials, but also one of the main functional applications of integral foams - replacement of wooden articles in various fields of engineering and construction.
168773;9781461437093;Chemotherapy in Psychiatry;Extensively updated since its second edition in 1985, Chemotherapy in Psychiatry, Third Edition, again addresses basic aspects of modern psychopharmacology and clinical applications of drugs used in the treatment of major psychiatric disorders, with major emphasis on psychotic, bipolar, and depressive disorders. The presentation covers descriptions of the main classes of psychotropic drugs, selected information concerning their known action mechanisms and metabolic disposition, and their clinical applications for acute illnesses and to prevent recurrences and long-term morbidity. Also covered are limitations and adverse effects of each type of agent, with emphasis on the fact that all psychotropic medicines have adverse effects that range from annoying to potentially lethal. Chemotherapy in Psychiatry, Third Edition, outlines the need to balance benefits and risks at the level of individual persons. Authoritative, and an important contribution to the literature, Chemotherapy in Psychiatry, Third Edition is an invaluable resource for physicians, scientists, trainees, and policymakers. 
140973;9783540743750;Geological Methods in Mineral Exploration and Mining;This practical step-by-step guide describes the key geological field techniques needed by today's exploration geologists involved in the search for metallic deposits. The techniques described are fundamental to the collection, storage and presentation of geological data and their use to locate ore. This book explains the various tasks which the exploration geologist is asked to perform in the sequence in which they might be employed in an actual exploration project. Hints and tips are give. The steps are illustrated with numerous examples drawn from real projects on which the author has worked. The book emphasizes traditional skills and shows how they can be combined effectively with modern technological approaches.
140269;9783540748540;Mechanochemistry in Nanoscience and Minerals Engineering;Mechanochemistry as a branch of solid state chemistry enquires into processes which proceed in solids due to the application of mechanical energy. This provides a thorough, up to date overview of mechanochemistry of solids and minerals. Applications of mechanochemistry in nanoscience with special impact on nanogeoscience are described. Selected advanced identification methods, most frequently applied in nanoscience, are described as well as the advantage of mechanochemical approach in minerals engineering. Examples of industrial applications are given. Mechanochemical technology is being applied in many industrial fields: powder metallurgy (synthesis of nanometals, alloys and nanocompounds), building industry (activation of cements), chemical industry (solid waste treatment, catalyst synthesis, coal ashes utilization), minerals engineering (ore enrichment, enhancement of processes of extractive metallurgy), agriculture industry (solubility increase of fertilizers), and pharmaceutical industry (improvement of solubility and bioavailability of drugs). This reference serves as an introduction to newcomers to mechanochemistry, and encourages more experienced researchers to broaden their knowledge and discover novel applications in the field.
140322;9783540744870;Services Science;The service sector has dominated advanced economies for years. In many countries, it accounts for more than 70% of gross domestic product, and approximately the same percentage of all employees work in this sector. To reflect the economic relevance of the service sector, services science must be established as an academic discipline. But the path in pursuit of this goal is riddled with challenges, especially in the fields of services research, service-oriented education and service-related collaborations. This book includes detailed articles and short statements on each field, written by academics and experts. They explain which challenges need to be met by research and academic training in the services community of the 21st century. The contributions contained in this book reflect the content of presentations and statements given at the first German Services Science Conference.
106848;9783540230274;Modeling, Simulation and Optimization of Complex Processes;This proceedings volume contains a selection of papers presented at the symposium  International Conference on High Performance Scientific Computing'' held at the Hanoi Institute of Mathematics of the Vietnam National Center for Natural Science and Technology (NCST), March 10-14, 2003. The conference has been organized by the Hanoi Institute of Mathematics, SFB 359 ''Reactive Flows, Transport and Diffusion'', Heidelberg, Ho Chi Minh City University of Technology and Interdisciplinary Center for Scientific Computing (IWR), Heidelberg. The contributions cover the broad interdisciplinary spectrum of scientific computing and present recent advances in theory, development of methods, and applications in practice. Subjects covered are mathematical modelling, numerical simulation, methods for optimization and optimal control, parallel computing, symbolic computing, software development, applications of scientific computing in physics, chemistry, biology and mechanics, environmental and hydrology problems, transport, logistics and site location, communication networks, production scheduling, industrial and commercial problems.
136845;9783642093302;Galactose Regulon of Yeast;The galactose regulon of yeast is one of the best studied regulons. It is an ideal paradigm for demonstrating fundamental and evolving concepts in biology and is used in this book as a model system to explain various facets of conventional and modern biology.  The book starts with a brief historical overview on yeast research, i.e. early observations in enzyme adaptation, classical genetics, formulating hypotheses based on genetic inference. This is followed by molecular genetics of the galactose regulon, isolation of genes and testing of the hypotheses. The power of mutational analysis in deciphering molecular mechanisms is conveyed. Further, contemporary topics such as genomics, evolution, single cell analysis of transcriptional switching, binary and graded responses, biological consequences of feed back regulation in genetic circuits, and stochasticity are addressed. 
136852;9783540721857;Geometric Modeling and Algebraic Geometry;The two fields of Geometric Modeling and Algebraic Geometry, though closely related, are traditionally represented by two almost disjoint scientific communities. Both fields deal with objects defined by algebraic equations, but the objects are studied in different ways. This contributed book presents, in 12 chapters written by leading experts, recent results which rely on the interaction of both fields. Some of these results have been obtained in the frame of the European GAIA II project (IST 2001-35512) entitled  Intersection algorithms for geometry-based IT applications using approximate algebraic methods .
149660;9783540853688;Numerical Methods in Multidimensional Radiative Transfer;The book provides an overview of the numerical modelling of radiation fields in multidimensional geometries. It covers advances and problems in the mathematical treatment of the radiative transfer equation, a partial integro-differential equation of high dimension that describes the propagation of the radiation in various fields. Highly accurate and fast methods with sound analytical foundations are particularly emphasized. The volume should not only serve as a basis for the selection of suitable methods for actual radiative transfer problems in disciplines from astronomy and climatology to radiological diagnostics but also be a starting point for additional mathematical investigations on many still unknown aspects of the transfer equation.
156850;9783642181733;Induction Chemotherapy;Induction chemotherapy, as part of an integrated plan of management for locally advanced cancers, is being practised throughout the world in independent, isolated departments in universities, teaching hospitals, and clinical schools. Frequently, however, teams are relatively unaware of the work being undertaken in other institutions, and this situation may slow further progress. This book aims to present the full range of management techniques and practices used in induction chemotherapy within one accessible volume. It provides up-to-date information on the pioneering and cutting edge practices employed in different institutions and documents the advantages of integrated treatment schedules. Patient selection is discussed, and each of the cancer types for which induction therapy has proved important is considered in detail. All who are responsible for the treatment of patients with locally advanced cancers will find this book to be an invaluable source of information. It will be particularly interesting for specialist oncologists aiming to set up and develop fully comprehensive cancer centres and for health administrators wishing to learn about the benefits of establishing such centres in strategic locations.
156141;9783642139802;Integrated Systems of Meso-Meteorological and Chemical Transport Models;This book, as the outcome of the COST-728/NetFAM workshop, focuses on the follow­ing main topics: 1) on-line coupled meteorology-chemistry modelling with two-way feedbacks, 2) off-line coupled modelling and interfaces, 3) validation and case studies including air quality related episodes, and 4) integration of atmospheric chemical transport (ACT) models with numerical weather prediction (NWP).This book is one of the first attempts to give an overall look on such integrated meso-meteorology and chemistry modelling approach. It reviews the current situation with the on-line and off-line coupling of mesoscale meteorological and ACT models worldwide as well as discusses advantages and shortcomings, best practices, and gives recommendations for on-line and off-line coupling of NWP and ACT models, implementation strategy for different feedback mechanisms, direct and indirect effects of aerosols and advanced interfaces between both types of models. The book is oriented towards numerical weather prediction and air quality modelling communities.
168300;9783642192333;Dimensional Analysis;Dimensional analysis is an essential scientific method and a powerful tool for solving problems in physics and engineering. This book starts by introducing the Pi Theorem, which is the theoretical foundation of dimensional analysis. It also provides ample and detailed examples of how dimensional analysis is applied to solving problems in various branches of mechanics. The book covers the extensive findings on explosion mechanics and impact dynamics contributed by the author’s research group over the past forty years at the Chinese Academy of Sciences. The book is intended for advanced undergraduates and graduate students of physics and engineering, as well as research scientists and engineers working in related fields.Qingming Tan is a former researcher at the Institute of Mechanics, the Chinese Academy of Sciences, China.
168608;9783642190346;Justice and Conflicts;Central to the book are questions concerning the existence and the characteristics of justice motives, and concerning the influence that justice motives and justice judgements have on the emergence, but also the solution of social conflicts. Five main themes will be addressed: (1) “Introduction and justice motive”, (2) “organizational justice”, (3) “ecological justice”, (4) “social conflicts”, and (5) “solution of conflicts”.The authors of the editions are scholars of psychology, as well as distinguished experts from various other disciplines, including sociologists, economists, legal scholar, educationalists, and ethicists. The common ground of all contributors is their independent conduction of empirical research on justice issues. Apart from the German contributors, authors represent scholars from the US, India, Korea, New Zealand, and various European countries (Austria, Switzerland, the Netherlands, UK, Sweden).
59098;9781493950232;Peripheral Endovascular Interventions;This book is a comprehensive review of the rapidly advancing field of endovascular therapy, written by internationally recognized authorities in the field, many of whom are the innovators of the techniques and devices involved. Broad in scope, topics covered range from how to obtain training in approved endovascular techniques to promising new lines of investigational therapies. Reflecting the operative nature of many of the new endovascular therapies, this book is somewhat unique for an endovascular text in the strong representation of surgeons among its authors. Purpose: The purpose is to train and update physicians with diverse levels of experience and from a variety of specialties in established, new, and still evolving endovascular techniques. Given the wide variation in expertise among different specialties interested in performing these procedures, and acknowledging that different specialties lack skill in different aspects of various procedures, a book such as this is badly needed. The goals are accomplished by providing broad overviews of the basics for those with little experience and in-depth presentations of advanced topics for more skilled physicians. Audience: The audience includes vascular surgeons, who will take particular interest in the coverage of endovascular equipment and basic percutaneous techniques, and interventional cardiologists and radiologists, who have had little previous exposure to the operative aspects of endovascular therapy discussed in detail in this book. From the preface to the second edition: Catheter-based diagnosis and treatment of vascular diseases has evolved over the last several decades, with a recent increase occurring in the utility of the therapeutic methods. This development has been stimulated by several factors including miniaturization of interventional devices and imaging technologies, and an emphasis on the utilization of minimally invasive, cost-effective treatments that reduce the economic impact of health care delivery. As part of this evolution, the development and adaptation of new interventional techniques and devices has produced a continual need for updating and training physicians in several subspecialties regarding the use of these methodologies. This requires not only adapting the technologies to current clinical practice but also establishing educational training curriculum in subspecialty fellowship programs. Because endovascular technologies are of multispecialty interest, a review of the entire scope of fundamental information regarding each aspect of the field is required to furnish a comprehensive review that will provide specific utility for individuals from different disciplines. For this reason, we have undertaken the development of this text to satisfy two goals. The first is to provide a broad overview of the entire range of topics for clinicians with little or no background relevant to the subject matter. Secondly, those with some familiarity will find definitive informational material to allow adaptation of endovascular technologies to their current clinical practice. To adequately understand and safely use catheter-based interventional therapies, knowledge of a number of topics beyond the clinical indications and techniques for applying endovascular methods is required. A thorough understand of the pathophysiology of vascular disease, safety issues regarding interventional devices and imaging methods, and a comprehension of fundamental biomaterials concepts is needed. These topics are addressed in detail and represent relatively mature aspects of this field that are otherwise characterized by continual change in devices and techniques as the field expands.
