"p"	"count"
"http://dbpedia.org/ontology/wikiPageWikiLink"	54268995
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	6922896
"http://purl.org/dc/terms/subject"	6173862
"http://de.dbpedia.org/property/wikiPageUsesTemplate"	4877579
"http://dbpedia.org/ontology/wikiPageRevisionID"	3231760
"http://dbpedia.org/ontology/wikiPageID"	3231760
"http://www.w3.org/ns/prov#wasDerivedFrom"	3231760
"http://www.w3.org/2000/01/rdf-schema#label"	3022272
"http://purl.org/dc/elements/1.1/language"	2807330
"http://xmlns.com/foaf/0.1/isPrimaryTopicOf"	2805085
"http://xmlns.com/foaf/0.1/primaryTopic"	2805081
"http://dbpedia.org/ontology/wikiPageExternalLink"	1975124
"http://www.w3.org/2000/01/rdf-schema#comment"	1447154
"http://dbpedia.org/ontology/abstract"	1446136
"http://purl.org/dc/elements/1.1/rights"	1196860
"http://dbpedia.org/ontology/wikiPageRedirects"	1153919
"http://de.dbpedia.org/property/name"	938090
"http://dbpedia.org/ontology/wikiPageDisambiguates"	922007
"http://xmlns.com/foaf/0.1/name"	775124
"http://dbpedia.org/ontology/thumbnail"	670076
"http://xmlns.com/foaf/0.1/depiction"	670069
"http://www.w3.org/2002/07/owl#sameAs"	616318
"http://xmlns.com/foaf/0.1/thumbnail"	598430
"http://dbpedia.org/ontology/birthPlace"	588080
"http://de.dbpedia.org/property/geburtsort"	531499
"http://purl.org/dc/elements/1.1/description"	523244
"http://de.dbpedia.org/property/kurzbeschreibung"	515884
"http://de.dbpedia.org/property/geburtsdatum"	514089
"http://xmlns.com/foaf/0.1/givenName"	480665
"http://xmlns.com/foaf/0.1/surname"	480665
"http://dbpedia.org/ontology/birthDate"	415958
"http://www.w3.org/2004/02/skos/core#broader"	388102
"http://de.dbpedia.org/property/ns"	386484
"http://de.dbpedia.org/property/ew"	383393
"http://de.dbpedia.org/property/typ"	319386
"http://de.dbpedia.org/property/adresse"	313679
"http://de.dbpedia.org/property/sterbedatum"	267771
"http://de.dbpedia.org/property/viaf"	267348
"http://dbpedia.org/ontology/deathPlace"	251475
"http://dbpedia.org/ontology/starring"	249806
"http://de.dbpedia.org/property/bild"	237176
"http://www.georss.org/georss/point"	231771
