"p"	"count"
"http://www.w3.org/2002/07/owl#sameAs"	451962580
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	63553605
"http://www.w3.org/2000/01/rdf-schema#label"	51556295
"http://purl.org/dc/terms/subject"	16598682
"http://dbpedia.org/ontology/wikiPageID"	12461351
"http://dbpedia.org/ontology/wikiPageRevisionID"	12461351
"http://www.w3.org/ns/prov#wasDerivedFrom"	12461335
"http://xmlns.com/foaf/0.1/primaryTopic"	10141311
"http://xmlns.com/foaf/0.1/isPrimaryTopicOf"	10141311
"http://purl.org/dc/elements/1.1/language"	10141311
"http://www.w3.org/2000/01/rdf-schema#comment"	10029142
"http://dbpedia.org/ontology/abstract"	10028410
"http://dbpedia.org/ontology/wikiPageExternalLink"	6649372
"http://dbpedia.org/ontology/wikiPageRedirects"	5975754
"http://dbpedia.org/ontology/wikiPageOutLinkCount"	4256787
"http://www.wikidata.org/entity/P107"	4219657
"http://dbpedia.org/property/hasPhotoCollection"	4041585
"http://dbpedia.org/ontology/wikiPageInLinkCount"	4037392
"http://dbpedia.org/property/name"	3409906
"http://xmlns.com/foaf/0.1/name"	2887706
"http://purl.org/dc/elements/1.1/rights"	2829758
"http://dbpedia.org/ontology/country"	2164380
"http://www.w3.org/2004/02/skos/core#broader"	1985245
"http://xmlns.com/foaf/0.1/depiction"	1601096
"http://dbpedia.org/ontology/thumbnail"	1601095
"http://www.wikidata.org/entity/P17"	1539978
"http://dbpedia.org/ontology/team"	1427116
"http://xmlns.com/foaf/0.1/thumbnail"	1414882
"http://www.georss.org/georss/point"	1399903
"http://www.w3.org/2003/01/geo/wgs84_pos#lat"	1398610
"http://www.w3.org/2003/01/geo/wgs84_pos#long"	1395668
"http://dbpedia.org/ontology/wikiPageDisambiguates"	1237040
"http://dbpedia.org/ontology/city"	1140137
"http://dbpedia.org/ontology/birthPlace"	1123440
"http://dbpedia.org/property/title"	1110639
"http://www.wikidata.org/entity/P131"	1046127
"http://dbpedia.org/property/subdivisionType"	1013129
"http://xmlns.com/foaf/0.1/givenName"	1008168
"http://www.w3.org/2004/02/skos/core#prefLabel"	995911
"http://xmlns.com/foaf/0.1/surname"	981923
"http://dbpedia.org/ontology/sex"	927332
"http://www.wikidata.org/entity/P21"	924354
"http://dbpedia.org/property/dateOfBirth"	894391
"http://www.w3.org/2003/01/geo/wgs84_pos#geometry"	866501
"http://dbpedia.org/property/subdivisionName"	810249
"http://www.wikidata.org/entity/P373"	806334
"http://www.wikidata.org/entity/P31"	790947
"http://dbpedia.org/property/placeOfBirth"	774894
"http://dbpedia.org/property/birthPlace"	753872
"http://dbpedia.org/property/years"	749551
"http://dbpedia.org/property/shortDescription"	746227
"http://dbpedia.org/ontology/birthDate"	737757
"http://purl.org/dc/elements/1.1/description"	733851
"http://dbpedia.org/property/goals"	720504
"http://dbpedia.org/ontology/isPartOf"	675730
"http://www.wikidata.org/entity/P442"	661440
"http://dbpedia.org/ontology/years"	587328
"http://dbpedia.org/ontology/careerStation"	577196
"http://www.wikidata.org/entity/P625"	573931
"http://dbpedia.org/property/length"	559936
"http://dbpedia.org/ontology/occupation"	554388
"http://xmlns.com/foaf/0.1/homepage"	537584
"http://dbpedia.org/property/genre"	513159
"http://dbpedia.org/property/birthDate"	505610
"http://dbpedia.org/property/clubs"	485977
"http://dbpedia.org/ontology/genre"	464000
"http://dbpedia.org/ontology/numberOfGoals"	458961
"http://www.w3.org/2002/07/owl#equivalentClass"	448412
"http://www.w3.org/2000/01/rdf-schema#subClassOf"	446779
"http://dbpedia.org/property/date"	445846
"http://dbpedia.org/property/rd1Team"	439942
"http://dbpedia.org/ontology/numberOfMatches"	438004
"http://dbpedia.org/property/wordnet_type"	437797
"http://dbpedia.org/property/location"	431458
"http://dbpedia.org/ontology/position"	419217
"http://dbpedia.org/property/dateOfDeath"	415774
"http://www.wikidata.org/entity/P225"	405751
"http://www.wikidata.org/entity/P105"	404635
"http://dbpedia.org/ontology/deathPlace"	391439
"http://dbpedia.org/ontology/family"	389536
"http://www.wikidata.org/entity/P214"	389057
"http://dbpedia.org/property/caps"	385210
"http://dbpedia.org/property/type"	384986
"http://dbpedia.org/property/caption"	382868
"http://dbpedia.org/ontology/order"	371280
"http://dbpedia.org/property/votes"	355184
"http://dbpedia.org/ontology/starring"	352636
"http://dbpedia.org/ontology/type"	338433
"http://dbpedia.org/ontology/utcOffset"	334824
"http://dbpedia.org/ontology/deathDate"	321896
"http://dbpedia.org/property/country"	312478
"http://dbpedia.org/ontology/recordLabel"	309463
"http://dbpedia.org/property/starring"	308170
"http://www.wikidata.org/entity/P106"	303298
"http://dbpedia.org/ontology/location"	293735
"http://dbpedia.org/property/label"	291623
"http://dbpedia.org/property/percentage"	289698
"http://dbpedia.org/ontology/citizenship"	289243
"http://dbpedia.org/property/candidate"	289229
"http://www.wikidata.org/entity/P27"	284759
"http://dbpedia.org/property/writer"	283010
"http://dbpedia.org/property/longew"	275570
"http://dbpedia.org/property/latns"	275567
"http://dbpedia.org/property/latd"	264675
"http://dbpedia.org/property/longd"	264192
"http://dbpedia.org/ontology/populationTotal"	264053
"http://dbpedia.org/property/rd2Team"	260795
"http://dbpedia.org/property/producer"	260467
"http://dbpedia.org/ontology/phylum"	258188
"http://dbpedia.org/property/settlementType"	254975
"http://dbpedia.org/ontology/kingdom"	253087
"http://www.wikidata.org/entity/P19"	252528
"http://dbpedia.org/property/released"	245182
"http://dbpedia.org/ontology/class"	240734
"http://dbpedia.org/property/longm"	234680
"http://dbpedia.org/property/latm"	234662
"http://dbpedia.org/ontology/currentMember"	233481
"http://dbpedia.org/property/episodenumber"	231658
"http://dbpedia.org/property/team"	230962
"http://dbpedia.org/property/website"	229359
"http://dbpedia.org/ontology/genus"	227073
"http://dbpedia.org/ontology/artist"	225024
"http://dbpedia.org/property/regnum"	219278
"http://dbpedia.org/ontology/individualisedGnd"	218362
"http://www.wikidata.org/entity/P227"	218288
"http://dbpedia.org/ontology/elevation"	217555
"http://dbpedia.org/property/familia"	215678
"http://dbpedia.org/property/timezone"	215477
"http://dbpedia.org/property/genus"	215135
"http://dbpedia.org/property/placeOfDeath"	211403
"http://dbpedia.org/property/occupation"	211148
"http://dbpedia.org/ontology/producer"	207280
"http://dbpedia.org/property/utcOffset"	205910
